127.0.0.1 - - [27/Oct/2023:17:53:13 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/Home.jsp HTTP/1.1" 200 7993
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/images/f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/images/b%20(2).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/images/e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/images/d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /PaymentDemo/images/app.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:47 +0530] "GET /PaymentDemo/Signup.jsp HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:47 +0530] "GET /PaymentDemo/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:47 +0530] "GET /PaymentDemo/js/signup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:47 +0530] "GET /PaymentDemo/images/signup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:49 +0530] "GET /PaymentDemo/Signin.jsp HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:49 +0530] "GET /PaymentDemo/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:49 +0530] "GET /PaymentDemo/images/signin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:51 +0530] "GET /PaymentDemo/food.jsp HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:51 +0530] "GET /PaymentDemo/images/foo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:56 +0530] "GET /PaymentDemo/deco.jsp HTTP/1.1" 200 7975
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:56 +0530] "GET /PaymentDemo/images/deco1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:58 +0530] "GET /PaymentDemo/entertain.jsp HTTP/1.1" 200 10117
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:53:58 +0530] "GET /PaymentDemo/images/band.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/hotels.jsp HTTP/1.1" 200 12653
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/galadari_anthu.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/galadari_grand.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/move.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/hilton_gr.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/hilton.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/jetwing_bl.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/taj.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/jetwing.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/galadari_orchid.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/heritance.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/summit.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/mahaweli.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:01 +0530] "GET /PaymentDemo/images/green1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:04 +0530] "GET /PaymentDemo/Navigate.jsp HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [27/Oct/2023:17:54:04 +0530] "GET /PaymentDemo/images/navigate.jpg HTTP/1.1" 304 -
